bsu_id,bsu_desc,eco_id,eco_desc,pao_id,pao_desc,spn_id,spn_desc
"hinT","Hit-family hydrolase","hinT","purine nucleoside phosphoramidase monomer","PA3295","HIT family protein","SP_0521","HIT family protein"
"aroF","chorismate synthase","aroC","","aroC","chorismate synthase","SP_1374","chorismate synthase"
"ygaD","putative ABC transporter (ATP-binding protein)","msbA","ATP-binding lipopolysaccharide transport protein","msbA","transporter MsbA",NA,NA
"tsaC","biosynthesis of ","tsaC","protein involved in synthesis of threonylcarbamoyladenosine-modified tRNA","PA0022","orf","SP_1022","Sua5/YciO/YrdC family protein"
"sdhA","succinate dehydrogenase (flavoprotein subunit)","frdA","fumarate reductase flavoprotein","sdhA","succinate dehydrogenase flavoprotein subunit",NA,NA
"dxs","1-deoxyxylulose-5-phosphate synthase","dxs","","dxs","1-deoxy-D-xylulose-5-phosphate synthase","SP_2127","transketolase, C-terminal subunit"
"srtN","NAD-dependent deacetylase; sirtuin","cobB","protein-lysine deacetylase and desuccinylase","PA1197","NAD-dependent deacetylase",NA,NA
"dltB","putative D-alanine esterase for lipoteichoic acid and wall teichoic acid",NA,NA,"algI","alginate o-acetyltransferase AlgI","SP_2175","dltB protein"
"nusB","transcription termination factor NusB","nusB","transcription antitermination protein NusB","nusB","transcription antitermination protein NusB","nusB","transcription antitermination protein NusB"
"uvrC","excinuclease ABC (subunit C)","uvrC","excinuclease ABC, subunit C; repair of UV damage to DNA","uvrC","excinuclease ABC subunit C","uvrC","excinuclease ABC subunit C"
"gyrB","DNA gyrase (subunit B)","gyrB","DNA gyrase, subunit B","gyrB","DNA gyrase subunit B","gyrB","DNA gyrase subunit B"
"hemH","ferrochelatase","hemH","ferrochelatase",NA,NA,"SP_1009","ferrochelatase"
"moaE","molybdopterin synthase (large subunit)","moaE","molybdopterin synthase large subunit","moaE","molybdopterin converting factor, large subunit",NA,NA
"proJ","glutamate 5-kinase",NA,NA,"proB","gamma-glutamyl kinase",NA,NA
"pdxS","glutamine amidotransferase for pyridoxal phosphate synthesis",NA,NA,NA,NA,"SP_1468","pyridoxal biosynthesis lyase PdxS"
"rny","ribonuclease Y",NA,NA,NA,NA,"SP_1739","orf"
"yfiZ","iron(III) siderophore transport permease","fepD","ferric enterobactin ABC transporter - membrane subunit",NA,NA,NA,NA
"fnr","transcriptional regulator (FNR/CAP family)","crp","CRP transcriptional dual regulator","dnr","transcriptional regulator Dnr",NA,NA
"yvqJ","putative efflux protein",NA,NA,NA,NA,"SP_1116","transporter"
"yccK","putative ion channel associated enzyme","ydjG","methylglyoxal reductase (NADH-dependent)",NA,NA,NA,NA
"mrpD","component of Na+/H+ antiporter",NA,NA,"PA1056","monovalent cation/H+ antiporter subunit D",NA,NA
"yesL","putative permease",NA,NA,NA,NA,"SP_1677","orf"
"resD","ResD two-component response regulator, phosphorylated","phoB","PhoB-Phosphorylated DNA-binding transcriptional dual regulator","phoB","two-component response regulator PhoB",NA,NA
"hisH","amidotransferase (glutaminase)","hisH","imidazole glycerol phosphate synthase, HisH subunit","hisH1","imidazole glycerol phosphate synthase subunit HisH",NA,NA
"spmB","spore maturation protein",NA,NA,"PA5478","orf",NA,NA
"yrrO","putative hydrolase","yegQ","predicted peptidase","PA5440","peptidase","SP_1429","U32 family peptidase"
"ohrR","transcriptional regulator sensing organic peroxides",NA,NA,"ohrR","",NA,NA
"yrrK","putative Holliday junction resolvase","yqgF","predicted transcription antitermination factor","PA0404","Holliday junction resolvase-like protein",NA,NA
"yjbQ","putative Na+/H+ antiporter","kefC","",NA,NA,NA,NA
"rplI","ribosomal protein L9","rplI","50S ribosomal subunit protein L9","rplI","50S ribosomal protein L9","rplI","50S ribosomal protein L9"
"nadE","ammonium-dependent NAD+ synthetase","nadE","","nadE","NAD synthetase","nadE","NAD synthetase"
"nrdI","co-factor of ribonucleotide diphosphate reductase","nrdI","flavodoxin involved in dimanganese-tyrosyl radical cofactor maintenance for ribonucleotide reductase",NA,NA,NA,NA
"ytqA","putative Fe-S oxidoreductase","yhcC","predicted Fe-S oxidoreductase",NA,NA,NA,NA
"sdaAA","L-serine dehydratase (alpha chain)","tdcG","L-serine deaminase III","sdaA","L-serine dehydratase","SP_0105","L-serine dehydratase, iron-sulfur-dependent subunit alpha"
"yuiF","amino acid transporter",NA,NA,"PA2653","transporter",NA,NA
"yfmT","putative aldehyde dehydrogenase",NA,NA,"PA4899","aldehyde dehydrogenase",NA,NA
"ppaC","inorganic pyrophosphatase",NA,NA,NA,NA,"SP_1534","manganese-dependent inorganic pyrophosphatase"
"cah","S-deacylase",NA,NA,NA,NA,"SP_1695","acetyl xylan esterase"
"amiE","","yfeW","penicillin binding protein 4B",NA,NA,"SP_1448","orf"
"ytnA","putative amino acid permease","proY","proline:H+ symporter  - cryptic","PA0789","amino acid permease",NA,NA
"gmuD","mannoside-phospho-beta-d-glucosidase",NA,NA,NA,NA,"SP_0265","glycosyl hydrolase"
"tkmA","modulator of YwqD protein tyrosine kinase activity",NA,NA,NA,NA,"SP_0348","capsular polysaccharide biosynthesis protein Cps4C"
"xpt","xanthine phosphoribosyltransferase",NA,NA,"PA5298","xanthine phosphoribosyltransferase","SP_1847","xanthine phosphoribosyltransferase"
"pepT","peptidase T (tripeptidase)","pepT","",NA,NA,"SP_1008","peptidase T"
"yvcL","protein involved in cell division",NA,NA,NA,NA,"SP_1564","orf"
"comGA","membrane associated factor for DNA competence","gspE","putative protein secretion protein for export","PA2677","type II secretion protein","SP_2053","competence protein CglA"
"fliG","flagellar motor switching and energizing component","fliG","flagellar motor switch protein FliG","fliG","flagellar motor switch protein G",NA,NA
"minD","ATPase activator of MinC","minD","membrane ATPase of the MinC-MinD-MinE system that regulates septum placement","minD","cell division inhibitor MinD",NA,NA
"thrS","threonyl-tRNA synthetase",NA,NA,NA,NA,"thrS","threonyl-tRNA synthetase"
"ctc","ribosomal protein Ctc, binding 5S RNA","rplY","50S ribosomal subunit protein L25","PA4671","50S ribosomal protein L25/general stress protein Ctc",NA,NA
"yvlC","putative regulator (stress mediated)",NA,NA,NA,NA,"SP_0910","orf"
"smpB","tmRNA-binding protein","smpB","small protein B","smpB","SsrA-binding protein","smpB","SsrA-binding protein"
"uvrA","excinuclease ABC (subunit A)","uvrA","excision nuclease subunit A","uvrA","excinuclease ABC subunit A","uvrA","excinuclease ABC subunit A"
"queG","epoxyqueuosine reductase","queG","epoxyqueuosine reductase","PA4950","orf",NA,NA
"mprF","factor involved in lysinylation of phospholipids","ybhN","conserved inner membrane protein","PA0920","orf",NA,NA
"sufS","cysteine desulfurase","sufS","L-cysteine desulfurase","PA3667","pyridoxal-phosphate dependent enzyme","SP_0869","class-V aminotransferase"
"ansA","exported L-asparaginase","ansA","","ansA","L-asparaginase I",NA,NA
"spsK","putative dTDP-4-dehydrorhamnose reductase","rfbD","dTDP-4-dehydrorhamnose reductase","rmlD","dTDP-4-dehydrorhamnose reductase",NA,NA
"cshB","ATP-dependent RNA helicase; cold shock",NA,NA,NA,NA,"SP_0761","DEAD/DEAH box helicase"
"tcyL","sulfur-containing amino acid ABC transporter (permease)","glnP","glutamine ABC transporter - membrane subunit",NA,NA,NA,NA
"rpsF","ribosomal protein S6 (BS9)","rpsF","30S ribosomal subunit protein S6","rpsF","30S ribosomal protein S6","rpsF","30S ribosomal protein S6"
"mtnB","methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase)",NA,NA,"PA1683","methylthioribulose-1-phosphate dehydratase",NA,NA
"spoVD","penicillin-binding protein","ftsI","essential cell division protein FtsI; penicillin-binding protein 3","ftsI","penicillin-binding protein 3",NA,NA
"nadA","quinolinate synthetase","nadA","","nadA","quinolinate synthetase",NA,NA
"parB","site-specific DNA-binding protein","ynaK","Rac prophage; conserved protein","spoOJ","chromosome partitioning protein Spo0J","SP_2240","spspoJ protein"
"pucL","urate oxidase with peroxide reductase N-terminal domain",NA,NA,"PA1516","orf",NA,NA
"ydeC","putative transcriptional regulator (AraC/XylS family)","ydiP","predicted DNA-binding transcriptional regulator","mtlR","transcriptional regulator MtlR",NA,NA
"yojN","putative nitric-oxide reductase","yehL","predicted transporter subunit: ATP-binding component of ABC superfamily","nirQ","regulatory protein NirQ",NA,NA
"ywzA","conserved hypothetical protein",NA,NA,NA,NA,"SP_1801","orf"
"glgP","glycogen phosphorylase","glgP","","glgP","glycogen phosphorylase","SP_2106","glycogen phosphorylase"
"ubiD","putative 3-polyprenyl-4-hydroxybenzoate decarboxylase","ubiD","3-octaprenyl-4-hydroxybenzoate carboxy-lyase monomer","PA5237","orf",NA,NA
"treA","trehalose-6-phosphate hydrolase","treC","trehalose-6-phosphate hydrolase",NA,NA,"SP_1883","dextran glucosidase DexS"
"mgsA","methylglyoxal synthase","mgsA","methylglyoxal synthase",NA,NA,NA,NA
"yfkL","efflux transporter","ydiN","uncharacterised inner membrane protein YdiN",NA,NA,NA,NA
"czcD","potassium/proton-divalent cation antiporter","zitB","Z","PA0397","cation efflux system protein","SP_1857","cation efflux system protein"
"bkdAB","branched-chain alpha-keto acid dehydrogenase E1 subunit",NA,NA,"bkdA2","2-oxoisovalerate dehydrogenase, subunit beta","SP_1163","acetoin dehydrogenase, E1 component subunit beta"
"xlyB","N-acetylmuramoyl-L-alanine amidase; bacteriophage PBSX protein",NA,NA,"PA4924","orf",NA,NA
"leuC","3-isopropylmalate dehydratase (large subunit)","leuC","","leuC","isopropylmalate isomerase large subunit",NA,NA
"yugS","putative membrane protein involved in divalent ion export","ytfL","predicted inner membrane protein",NA,NA,"SP_1963","orf"
"xre","Phage PBSX transcriptional regulator",NA,NA,NA,NA,"SP_1050","transcriptional regulator"
"rpsO","ribosomal protein S15 (BS18)","rpsO","30S ribosomal subunit protein S15","rpsO","30S ribosomal protein S15","rpsO","30S ribosomal protein S15"
"ycsA","putative tartrate dehydrogenase","dmlA","D-malate dehydrogenase (decarboxylating)",NA,NA,NA,NA
"gudD","glucarate dehydratase","gudD","",NA,NA,NA,NA
"pgi","glucose-6-phosphate isomerase","pgi","","pgi","glucose-6-phosphate isomerase","pgi","glucose-6-phosphate isomerase"
"ycsF","putative nitrogen-containing heterocycle degradation enzyme","ybgL","predicted lactam utilization protein","PA2112","LamB/YcsF family protein",NA,NA
"yfiC","putative ABC transporter (ATP-binding protein)",NA,NA,NA,NA,"SP_2073","ABC transporter ATP-binding protein/permease"
"rho","transcriptional terminator Rho","rho","transcription termination factor Rho monomer;  polarity suppressor","rho","transcription termination factor Rho",NA,NA
"opuE","proline transporter",NA,NA,NA,NA,"SP_1328","sodium:solute symporter family protein"
"yugH","putative aspartate aminotransferase","ybdL","methionine-oxo-acid transaminase, PLP-dependent","aruH","Arginine:pyruvate transaminase, AruH",NA,NA
"swrC","transporter involved in surfactin self-resistance","mdtC","MdtABC-TolC multidrug efflux transport system - membrane subunit","PA2526","Resistance-Nodulation-cell Division (RND) efflux transporter",NA,NA
"iolC","2-deoxy-5-keto-D-gluconic acid kinase","kdgK","2-keto-3-deoxygluconokinase",NA,NA,NA,NA
"levE","phosphotransferase system (PTS) fructose-specific enzyme IIB component","manX","mannose PTS permease - ManX subunit",NA,NA,"SP_0284","PTS system mannose-specific transporter subunit IIAB"
"rpsT","ribosomal protein S20 (BS20)","rpsT","30S ribosomal subunit protein S20","rpsT","30S ribosomal protein S20","rpsT","30S ribosomal protein S20"
"mutS","DNA mismatch repair recognition factor","mutS","","mutS","DNA mismatch repair protein MutS",NA,NA
"motS","putative flagellar motor apparatus component",NA,NA,"motD","flagellar motor protein MotD",NA,NA
"appD","oligopeptide ABC transporter (ATP-binding protein)",NA,NA,"PA4505","ATP-binding component of ABC transporter",NA,NA
"pyrK","dihydroorotate dehydrogenase (electron transfer subunit)",NA,NA,NA,NA,"SP_0963","dihydroorotate dehydrogenase electron transfer subunit"
"pksB","putative hydrolase",NA,NA,"PA2915","orf",NA,NA
"rpmD","ribosomal protein L30 (BL27)","rpmD","50S ribosomal subunit protein L30","rpmD","50S ribosomal protein L30","rpmD","50S ribosomal protein L30"
"bioB","biotin synthase","bioB","biotin synthase monomer","bioB","biotin synthase",NA,NA
"ytpR","putative protein with RNA binding domain",NA,NA,NA,NA,"SP_1910","orf"
"infA","initiation factor IF-I","infA","protein chain initiation factor IF-1","infA","translation initiation factor IF-1","infA","translation initiation factor IF-1"
"ytaP","putative hydrolase",NA,NA,"PA3829","orf",NA,NA
"yxlH","putative efflux transporter",NA,NA,"PA4233","major facilitator superfamily (MFS) transporter",NA,NA
"yflB","conserved hypothetical protein","yhdN","conserved protein",NA,NA,NA,NA
"efp","elongation factor P","efp","protein chain elongation factor EF-P, β-lysyl-Lys34","efp","elongation factor P","SP_0435","elongation factor P"
"rnhC","ribonuclease HIII",NA,NA,NA,NA,"SP_0403","ribonuclease HIII"
"ypdP","putative integral inner membrane protein","yhhQ","conserved inner membrane protein","PA0013","orf",NA,NA
"ykpA","ABC efflux transporter (ATP-binding protein)","ybiT","putative ATP-binding component of a transport system","PA1964","ATP-binding component of ABC transporter","SP_2230","ABC transporter ATP-binding protein"
"ysfB","putative regulator","cdaR","CdaR DNA-binding transcriptional activator","PA1050","orf",NA,NA
"ydbB","putative enzyme ; cupin family",NA,NA,"PA2490","orf",NA,NA
"yxjC","putative permease",NA,NA,"PA2004","orf",NA,NA
"mutY","A/G-specific adenine glycosylase or DNA-(apurinic or apyrimidinic site) lyase","mutY","adenine glycosylase; G.C --&gt; T.A transversions","mutY","G specific adenine glycosylase","SP_1228","A/G-specific adenine glycosylase"
"speB","agmatinase","speB","","gbuA","guanidinobutyrase",NA,NA
"katE","catalase 2","katE","catalase II","katE","hydroperoxidase II",NA,NA
"groES","chaperonin small subunit","groS","GroES, chaperone binds to Hsp60 in pres. Mg-ATP, suppressing its ATPase activity","groES","co-chaperonin GroES","groES","co-chaperonin GroES"
"niaP","nicotinate transporter","yjhB","YjhB  MFS transporter","PA3467","major facilitator superfamily (MFS) transporter",NA,NA
"fhuD","ferrichrome ABC transporter (ferrichrome-binding lipoprotein)",NA,NA,"fepB","iron-enterobactin transporter periplasmic binding protein",NA,NA
"yvgK","putative molybdate binding regulator","cysP","sulfate / thiosulfate ABC transporter - periplasmic binding protein CysP",NA,NA,NA,NA
"ywhB","4-oxalocrotonate tautomerase",NA,NA,NA,NA,"SP_1017","4-oxalocrotonate tautomerase"
"ygaC","putative factor",NA,NA,NA,NA,"SP_1903","orf"
"cymR","transcriptional regulator of cysteine biosynthesis","iscR","IscR DNA-binding transcriptional dual regulator","iscR","",NA,NA
"mutM","formamidopyrimidine-DNA glycosidase","mutM","formamidopyrimidine DNA glycosylase","mutM","formamidopyrimidine-DNA glycosylase","SP_0970","formamidopyrimidine-DNA glycosylase"
"yybD","putative acetyltransferase","elaA","predicted acyltransferase with acyl-CoA N-acyltransferase domain",NA,NA,NA,NA
"nasC","assimilatory nitrate reductase (catalytic subunit)",NA,NA,"PA1779","assimilatory nitrate reductase",NA,NA
"dapF","diaminopimelate epimerase","dapF","","dapF","diaminopimelate epimerase",NA,NA
"ylxS","putative RNA-binding protein","rimP","ribosome maturation protein","PA4746","orf","SP_0552","orf"
"alkA","DNA-3-methyladenine glycosylase","alkA","3-methyl-adenine DNA glycosylase II, inducible","alkA","DNA-3-methyladenine glycosidase II",NA,NA
"metI","cystathionine gamma-synthase and O-acetylhomoserine thiolyase",NA,NA,NA,NA,"SP_1525","cystathionine gamma-synthase"
"yciC","putative metallochaperone with NTPase activity","yjiA","P-loop guanosine triphosphatase","PA5535","orf",NA,NA
"yqaC","putative kinase; skin element",NA,NA,"PA4799","orf",NA,NA
"ywoH","putative transcriptional regulator (MarR family)",NA,NA,"PA3341","transcriptional regulator",NA,NA
"oxaAA","Sec-independent factor for membrane protein insertion (YidC/SpoIIIJ family)","yidC","inner-membrane protein insertion factor","PA5568","inner membrane protein translocase component YidC","SP_2041","SpoIIIJ family protein"
"hisZ","histidyl-tRNA synthetase component of ATP phophoribosyltransferase",NA,NA,"PA4939","ATP phosphoribosyltransferase regulatory subunit",NA,NA
"yqgQ","conserved hypothetical protein",NA,NA,NA,NA,"SP_0677","orf"
"flhF","GTPase involved in the export of flagella",NA,NA,"flhF","flagellar biosynthesis regulator FlhF",NA,NA
"yrkL","putative NAD(P)H oxidoreductase","kefG","protein required for KefB activity",NA,NA,NA,NA
"ybfH","putative permease","yhbE","conserved inner membrane protein","PA1060","orf",NA,NA
"ctpB","PDZ-containing carboxyl-terminal protease processing protease","prc","tail-specific protease","PA5134","carboxyl-terminal protease",NA,NA
"coaX","pantothenate kinase",NA,NA,"PA4279","pantothenate kinase",NA,NA
"lytG","exoglucosaminidase","flgJ","","flgJ","flagellar rod assembly protein/muramidase FlgJ",NA,NA
"opuBA","choline ABC transporter (ATP-binding protein)",NA,NA,NA,NA,"SP_1861","choline transporter"
"purK","phosphoribosylaminoimidazole carboxylase; ATPase subunit","purK","N5-carboxyaminoimidazole ribonucleotide synthetase monomer","purK","phosphoribosylaminoimidazole carboxylase ATPase subunit","SP_0054","phosphoribosylaminoimidazole carboxylase ATPase subunit"
"prfB","peptide chain release factor 2","prfB","peptide chain release factor RF2",NA,NA,NA,NA
"yxeQ","putative catabolic enzyme",NA,NA,"PA0881","orf",NA,NA
"pabA","4-amino-4-deoxychorismate synthase; anthranilate synthase (subunit II)","pabA","","trpG","anthranilate synthase component II","SP_1816","anthranilate synthase component II"
"glyQ","glycyl-tRNA synthetase (alpha subunit)","glyQ","glycyl-tRNA synthetase, α subunit","glyQ","glycyl-tRNA synthetase subunit alpha","glyQ","glycyl-tRNA synthetase subunit alpha"
"purL","phosphoribosylformylglycinamidine synthetase II","purL","phosphoribosylformylglycinamide synthetase","purL","phosphoribosylformylglycinamidine synthase","SP_0045","phosphoribosylformylglycinamidine synthase"
"fliD","flagellar hook-associated capping protein 2 (HAP2)","fliD","flagellar cap protein FliD; filament capping protein; enables filament assembly","fliD","flagellar capping protein FliD",NA,NA
"coaA","pantothenate kinase","coaA","pantothenate kinase monomer",NA,NA,"SP_0839","pantothenate kinase"
"yqfG","putative metal-dependent hydrolase","ybeY","endoribonuclease involved in maturation of 16S rRNA and ribosome quality control","PA3982","metalloprotease","SP_0967","metalloprotease"
"tpx","putative peroxiredoxin","tpx","lipid hydroperoxide peroxidase","tpx","thiol peroxidase","tpx","thiol peroxidase"
"ybxB","ribosomal RNA methyltransferase","rlmG","23S rRNA ","PA4617","orf","SP_0841","orf"
"queE","queuosine biosynthesis enzyme","queE","conserved protein","PA0975","radical activating enzyme",NA,NA
"rpsG","ribosomal protein S7 (BS7)","rpsG","30S ribosomal subunit protein S7","rpsG","30S ribosomal protein S7","SP_0272","30S ribosomal protein S7"
"thiQ","",NA,NA,"PA5390","acetylornithine deacetylase",NA,NA
"ganQ","arabinogalactan oligomer permease","malG","maltose ABC transporter - membrane subunit",NA,NA,NA,NA
"ywbI","putative transcriptional regulator (LysR family)","cynR","CynR DNA-binding transcriptional repressor","PA3433","transcriptional regulator",NA,NA
"rplC","ribosomal protein L3 (BL3)","rplC","50S ribosomal subunit protein L3","rplC","50S ribosomal protein L3","rplC","50S ribosomal protein L3"
"yurR","putative oxidoreductase",NA,NA,NA,NA,"SP_1608","oxidoreductase, DadA family protein"
"aseR","transcriptional regulator (metals sensing ArsR-SmtB repressors family)",NA,NA,"arsR","ArsR protein",NA,NA
"yvfH","putative lactate permease","glcA","glycolate / lactate:","lldP","L-lactate permease",NA,NA
"prpB","2-methylisocitrate lyase","prpB","2-methylisocitrate lyase","prpB","2-methylisocitrate lyase",NA,NA
"ywbD","putative AdoMet-dependent methyltransferase","rlmI","23S rRNA ","PA0354","orf","SP_1378","orf"
"atpC","ATP synthase (subunit epsilon, F1 subunit)","atpC","ATP synthase F1 complex - epsilon subunit","atpC","F0F1 ATP synthase subunit epsilon","atpC","ATP synthase F0F1 subunit epsilon"
"fpiD","petrobactin iron-siderophore ABC transporter (ATP-binding protein)",NA,NA,NA,NA,"SP_1871","iron-compound ABC transporter ATP-binding protein"
"sufU","zzinc-dependent sulfur transfer protein","iscU","scaffold protein for iron-sulfur cluster assembly","iscU","scaffold protein","SP_0870","NifU family protein"
"tyrA","prephenate dehydrogenase",NA,NA,NA,NA,"SP_1373","prephenate dehydrogenase"
"mmgA","degradative acetoacetyl-CoA thiolase","yqeF","predicted acyltransferase","atoB","acetyl-CoA acetyltransferase",NA,NA
"atpF","ATP synthase (subunit b, component F0)","atpF","ATP synthase ","atpF","F0F1 ATP synthase subunit B","SP_1512","ATP synthase F0F1 subunit B"
"yhdP","putative transporter or sensor",NA,NA,"PA5362","orf",NA,NA
"trpC","indol-3-glycerol phosphate synthase","trpC","indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase","trpC","indole-3-glycerol-phosphate synthase","trpC","indole-3-glycerol phosphate synthase"
"ykuN","short-chain flavodoxin",NA,NA,NA,NA,"SP_1297","flavodoxin"
"yrpE","putative lipoprotein","zinT","cadmium-induced cadmium binding protein",NA,NA,NA,NA
"glyA","serine hydroxymethyltransferase","glyA","","glyA3","serine hydroxymethyltransferase","glyA","serine hydroxymethyltransferase"
"racE","glutamate racemase","murI","glutamate racemase",NA,NA,"SP_1881","glutamate racemase"
"ymfC","putative transcriptional regulator (GntR family)","yegW","predicted DNA-binding transcriptional regulator",NA,NA,NA,NA
"dnaA","chromosomal replication initiator protein DnaA","dnaA","chromosomal replication initiator protein DnaA; DNA-binding transcriptional dual regulator","dnaA","chromosomal replication initiation protein","dnaA","chromosome replication initiator DnaA"
"phoD","phosphodiesterase/alkaline phosphatase D",NA,NA,"eddA","Extracelullar DNA degradation protein, EddA",NA,NA
"ymfH","putative processing protease",NA,NA,NA,NA,"SP_2224","M16 family peptidase"
"fumC","fumarate hydratase","fumC","fumarase C monomer","fumC2","fumarate hydratase",NA,NA
"malR","YufM two-component response regulator, phosphorylated","dcuR","",NA,NA,NA,NA
"yeeI","conserved hypothetical protein","yeeN","conserved protein",NA,NA,"SP_1922","orf"
"liaS","LiaS two-component sensory histidine kinase, phosphorylated","narX","NarX sensory histidine kinase - phosphorylated",NA,NA,"SP_0386","sensor histidine kinase"
"narJ","nitrate reductase (protein J)","narJ","molybdenum cofactor assembly chaperone subunit (δ subunit) of nitrate reductase 1","narJ","respiratory nitrate reductase subunit delta",NA,NA
"rodZ","protein involved in determining cell shape",NA,NA,"PA3804","orf","SP_2223","orf"
"tagH","ATP-binding teichoic acid precursor transporter component",NA,NA,"PA1386","ATP-binding component of ABC transporter",NA,NA
"ykfD","putative cell wall oligopeptide ABC transporter (ATP binding protein)","oppF","murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit",NA,NA,NA,NA
"tagA","N-acetylmannosamine (ManNAc) C4 hydroxyl of a membrane-anchored N-acetylglucosaminyl diphospholipid (GlcNAc-pp-undecaprenyl, lipid I) glycosyltransferase","rffM","UDP-N-acetyl-D-mannosaminuronic acid transferase",NA,NA,NA,NA
"trxB","thioredoxin reductase","trxB","thioredoxin reductase monomer","trxB1","thioredoxin reductase 1","SP_1458","thioredoxin reductase"
"serA","3-phosphoglycerate dehydrogenase","serA","","serA","D-3-phosphoglycerate dehydrogenase",NA,NA
"trmB","tRNA (guanine-N(7)-)-methyltransferase","trmI","tRNA ","micA","tRNA (guanine-N(7)-)-methyltransferase","trmB","tRNA (guanine-N(7)-)-methyltransferase"
"pepF","oligoendopeptidase F",NA,NA,NA,NA,"SP_0979","oligoendopeptidase F"
"walK","WalK two-component sensory histidine kinase, phosphorylated",NA,NA,NA,NA,"SP_1226","sensory box sensor histidine kinase"
"priA","primosomal replication factor Y (primosomal protein N')","priA","primosome factor N'","priA","primosome assembly protein PriA","SP_1736","primosome assembly protein PriA"
"bceA","bacitracin ABC efflux transporter (ATP-binding protein)",NA,NA,NA,NA,"SP_0912","ABC transporter ATP-binding protein"
"prpC","phosphorylated protein phosphatase",NA,NA,"stp1","serine/threonine phosphoprotein phosphatase Stp1","SP_1733","phosphatase"
"ydcI","putative RNA helicase","yhgF","predicted transcriptional accessory protein","PA5201","orf","SP_0908","transcriptional regulator"
